"row","name","abv","ibu","style","brewery"
"668","Guinness Rye Pale Ale",0.05,18,"Rye Beer","Guinness"
"669","Guinness Original (Europe)",0.042,45,"Stout - Irish Dry","Guinness"
"670","Antwerpen Stout",0.08,52,"Stout - Foreign / Export","Guinness"
"671","Irish Wheat",0.053,11,"Hefeweizen","Guinness"
"672","Guinness Golden Ale",0.045,4,"Golden Ale","Guinness"
"673","Guinness Special Export",0.08,36,"Stout - Foreign / Export","Guinness"
"674","Guinness Milk Stout",0.05,35,"Stout - Milk / Sweet","Guinness"
"675","Smithwick's Blonde Brewmaster Edition",0.041,23,"Blonde Ale","Guinness"
"676","Hop House 13 (5.0%)",0.05,22,"Lager - Pale","Guinness"
"677","Generous Ale",0.056,18,"Winter Ale","Guinness"
"678","Guinness Original XX",0.042,45,"Stout - Irish Dry","Guinness"
"679","The 1759",0.09,57,"Red Ale - Imperial / Double","Guinness"
"680","Smithwick's Winter Spirit",0.045,28,"Winter Ale","Guinness"
"681","Kaliber",0.004,15,"Non-Alcoholic Beer","Guinness"
"682","Rockshore Irish Lager",0.04,15,"Lager - American Light","Guinness"
"683","Dublin Amber Pale Ale",0.045,20,"Pale Ale - International","Guinness"
"684","The 1798",0.09,36,"Stout - Foreign / Export","Guinness"
"685","Extra Stout",0.056,45,"Stout - Other","Guinness"
"686","Foundry Golden Cider",0.045,28,"Cider - Other","Guinness"
"687","Kilkenny Strong",0.064,26,"Red Ale - Irish","Guinness"
"688","Smithwick's (Ireland)",0.038,26,"Red Ale - Irish","Guinness"
"689","Smithwick's Long Summer",0.044,4,"Golden Ale","Guinness"
"690","Harp Strong",0.063,35,"Pilsner - Imperial / Double","Guinness"
"691","Guiness Nitro Coffee Stout",0.055,36,"Stout - Foreign / Export","Guinness"
"692","Guinness Mid-Strength",0.028,45,"Stout - Irish Dry","Guinness"
"693","Satzenbrau Pils",0.05,15,"Pilsner - German","Guinness"
"694","Star Premium Lager",0.05,22,"Lager - Pale","Guinness"
"695","Harp Lemon Shandy",0.029,28,"Shandy / Radler","Guinness"
"696","Guinness Red",0.041,26,"Red Ale - Irish","Guinness"
"697","Anglia",0.01,28,"Shandy / Radler","Guinness"
"698","Guinness Zero ABV",0.004,15,"Non-Alcoholic Beer","Guinness"
"699","Guinness Foreign Extra Stout (Malaysia/Hong Kong/China)",0.068,36,"Stout - Foreign / Export","Guinness"
"700","Harp Premium Lager (UK Version)",0.04,21,"Lager - Euro","Guinness"
"701","Guinness Africa Special Stout",0.05,36,"Stout - Foreign / Export","Guinness"
"702","Longest Way Round Collaboration With Heavy Seas Beer",0.08,40,"Belgian Strong Golden Ale","Guinness"
"703","Anchor Strong",0.088,8,"Malt Liquor ","Guinness"
"704","Irish Brown",0.053,28,"Burton Ale","Guinness"
"705","Guinness One Indonesia Edition",0.049,36,"Stout - Foreign / Export","Guinness"
"706","Harp Wheat",0.054,11,"Hefeweizen","Guinness"
"707","Open Gate: Vienna Common Lager",0.05,18,"Lager - Vienna","Guinness"
"708","Guinness Bitter",0.044,28,"English Bitter","Guinness"
"709","Anchor",0.042,19,"Pilsner - Other","Guinness"
"710","Nitro White Ale",0.1,27,"Other","Guinness"
"711","Guinness Zero ABV Ginseng & Zesty Lime",0.004,15,"Non-Alcoholic Beer","Guinness"
"712","Night Porter",0.055,50,"Porter - Other","Guinness"
"713","Irish Pale Ale",0.045,46,"IPA - English","Guinness"
"714","Harp Spring Ale",0.048,22,"Lager - Pale","Guinness"
"715","Cashel's",0.053,28,"Cider - Other","Guinness"
"716","Kinrise Bright Lager",0.04,17,"Lager - Euro","Guinness"
"717","Smooth",0.05,36,"Stout - Foreign / Export","Guinness"
"718","Dubic Extra Lager",0.05,22,"Lager - Pale","Guinness"
"719","Open Gate: Toasted Oatmeal & Vanilla",0.05,28,"Brown Ale - Other","Guinness"
"720","Harp Red Ale",0.048,26,"Red Ale - Irish","Guinness"
"721","Guinness Rye Pale Ale Limited Edition Whiskey Cask",0.06,28,"IPA - Rye","Guinness"
"722","Open Gate: Dublin Wheat",0.053,11,"Hefeweizen","Guinness"
"723","Open Gate: Strong Ale Barrel Aged Scottish Whiskey",0.082,28,"Strong Ale - English","Guinness"
"724","Guinness Extra Stout (Bahamas)",0.075,36,"Stout - Foreign / Export","Guinness"
"725","Guinness Gold Lager",0.044,17,"Lager - Euro","Guinness"
"726","Open Gate: Guinness Weissbier",0.053,14,"Witbier","Guinness"
"727","Open Gate: Old Town Ale",0.075,28,"Winter Warmer","Guinness"
"728","Open Gate: Strong Ale",0.06,28,"Strong Ale - English","Guinness"
"729","Connect 16 Wheat",0.053,11,"Hefeweizen","Guinness"
"730","Drop",0.07,22,"Lager - Pale","Guinness"
"731","Project Brosnan",0.09,25,"Belgian Strong Dark Ale","Guinness"
"732","Guinness Crafted Hard Rock Limited Edition",0.054,10,"Lager - Dark","Guinness"
"733","Guinness Xxx",0.041,45,"Stout - Irish Dry","Guinness"
"734","Ferment-to-be",0.049,19,"Pilsner - Other","Guinness"
"735","Mano Brew",0.045,11,"Sour - Ale","Guinness"
"736","Bawston Tea Pahty Ale",0.049,23,"Blonde Ale","Guinness"
"737","The Olde Ship's Lager",0.044,17,"Lager - Euro","Guinness"
"738","Guinness Zero ABV One Indonesia Edition",0.004,15,"Non-Alcoholic Beer","Guinness"
"739","Christmas Brew 1981",0.065,36,"Stout - Foreign / Export","Guinness"
"740","Dublin Porter 2015",0.038,35,"Porter - English","Guinness"
"741","Kilkenny 5.5%",0.055,26,"Red Ale - Irish","Guinness"
"742","Heineken",0.05,19,"Lager - Euro","Heineken"
"743","Heineken Light",0.033,12,"Lager - American Light","Heineken"
"744","Heineken 0.0",0.004,15,"Non-Alcoholic Beer","Heineken"
"745","H41 Wild Lager ",0.053,23,"Lager - Euro","Heineken"
"746","Tarwebok",0.065,18,"Bock - Single / Traditional","Heineken"
"747","Heineken Dark",0.05,28,"Lager - Euro Dark","Heineken"
"748","Oud Bruin",0.025,14,"Lager - Euro Dark","Heineken"
"749","Buckler",0.001,12,"Non-Alcoholic Beer","Heineken"
"750","Heineken Extra Vers",0.05,19,"Pilsner - Other","Heineken"
"751","Lager Beer",0.046,16,"Lager - Euro","Heineken"
"752","Lingen's Blond",0.02,17,"Lager - Euro","Heineken"
"753","H71 Wild Lager Patagonie",0.053,17,"Lager - Euro","Heineken"
"754","H35 Wild Lager - Blue Ridge Mountains",0.056,22,"Lager - Pale","Heineken"
"755","Heineken Light (2.5%)",0.025,17,"Lager - Euro","Heineken"
"756","H32 - Wild Lager Himalayas",0.051,17,"Lager - Euro","Heineken"
"757","Heineken 3 Mid Strength Lager",0.033,17,"Lager - Euro","Heineken"
"758","Blasket Blonde",0.045,23,"Blonde Ale","Heineken"
"759","Blacksmiths Ale",0.036,28,"Pale Ale - English","Heineken"
"760","Almonds Ale",0.045,32,"Brown Ale - English","Heineken"
"761","Oak-ey Sensation",0.06,24,"Lager - Amber","Heineken"
"762","Swedish After Ski",0.044,17,"Lager - Euro","Heineken"
"763","Heineken Winterbier",0.082,18,"Winter Ale","Heineken"
"764","Supply Chain",0.06,5,"Extra Special / Strong Bitter","Heineken"
"765","Polar Beer",0.036,28,"Table Beer","Heineken"
"766","Dry 100",0.05,19,"Pilsner - Other","Heineken"
"767","ESNS Postillion Hotel",0.05,19,"Pilsner - Other","Heineken"
"768","Txilar",0.045,22,"Lager - Pale","Heineken"
"769","1867",0.051,19,"Pilsner - Other","Heineken"
"770","Julia Beeee",0.062,45,"Bock - Doppelbock","Heineken"
"771","Symphony of the Seas",0.049,19,"Pilsner - Other","Heineken"
"772","VDT",0.05,19,"Pilsner - Other","Heineken"
"773","El Mex Beet",0.053,24,"Lager - Amber","Heineken"
"774","Delirium Tremens",0.085,26,"Belgian Strong Golden Ale","Huyghe Brewery"
"775","Delirium Nocturnum",0.085,26,"Belgian Strong Dark Ale","Huyghe Brewery"
"776","Delirium Noël / Christmas",0.1,20,"Winter Ale","Huyghe Brewery"
"777","Delirium Red",0.08,10,"Fruit Beer","Huyghe Brewery"
"778","La Guillotine",0.085,40,"Belgian Strong Golden Ale","Huyghe Brewery"
"779","Früli Strawberry Beer",0.041,14,"Fruit Beer","Huyghe Brewery"
"780","Averbode",0.075,38,"Belgian Strong Golden Ale","Huyghe Brewery"
"781","Delirium Argentum",0.07,55,"Belgian Strong Golden Ale","Huyghe Brewery"
"782","Deliria",0.085,40,"Belgian Strong Golden Ale","Huyghe Brewery"
"783","Floris Apple",0.036,14,"Fruit Beer","Huyghe Brewery"
"784","St. Idesbald Blonde",0.065,28,"Blonde Ale - Belgian Blonde / Golden","Huyghe Brewery"
"785","St. Idesbald Tripel",0.09,26,"Belgian Tripel","Huyghe Brewery"
"786","Floris Framboise",0.036,14,"Fruit Beer","Huyghe Brewery"
"787","Floris Kriek",0.036,14,"Fruit Beer","Huyghe Brewery"
"788","Floris Chocolat",0.042,28,"Spiced / Herbed Beer","Huyghe Brewery"
"789","Blanche des Neiges",0.048,12,"Witbier","Huyghe Brewery"
"790","Campus Premium",0.05,22,"Lager - Pale","Huyghe Brewery"
"791","La Mère Noël",0.085,18,"Winter Ale","Huyghe Brewery"
"792","Artevelde Grand Cru",0.072,28,"Dark Ale","Huyghe Brewery"
"793","Floris Passion",0.036,14,"Fruit Beer","Huyghe Brewery"
"794","La Bouffonne",0.09,40,"Belgian Strong Golden Ale","Huyghe Brewery"
"795","Floris Wit - Blanche",0.048,14,"Witbier","Huyghe Brewery"
"796","Floris Fraise",0.036,14,"Fruit Beer","Huyghe Brewery"
"797","St. Idesbald Dubbel",0.08,20,"Belgian Dubbel","Huyghe Brewery"
"798","Belgian Cherry Wheat Beer",0.035,14,"Fruit Beer","Huyghe Brewery"
"799","Minerva Pale Ale",0.06,28,"Pale Ale - English","Minerva"
"800","Minerva Stout Imperial",0.06,35,"Stout - Imperial / Double","Minerva"
"801","Minerva ITA (Imperial Tequila Ale)",0.07,60,"Strong Ale - American","Minerva"
"802","Minerva Colonial",0.05,21,"Kölsch","Minerva"
"803","Minerva Viena Oscura",0.05,18,"Lager - Vienna","Minerva"
"804","El Dorado",0.08,60,"IPA - American","Minerva"
"805","Diosa Marina",0.05,30,"Lager - IPL (India Pale Lager)","Minerva"
"806","Diosa Blanca",0.045,14,"Witbier","Minerva"
"807","Lupe Reyes",0.077,23,"Bock - Weizenbock","Minerva"
"808","Unión",0.038,22,"Lager - Pale","Minerva"
"809","11:40",0.065,40,"Stout - Other","Minerva"
"810","Minerva Malverde",0.045,19,"Pilsner - Other","Minerva"
"811","Stout De Guadalajara",0.06,34,"Stout - American","Minerva"
"812","Los Doce",0.065,24,"Red Ale - American Amber / Red","Minerva"
"813","Rila",0.048,26,"Red Ale - Irish","Minerva"
"814","Minerva Belga de Convento",0.075,20,"Belgian Dubbel","Minerva"
"815","Minerva IPA",0.065,69,"IPA - American","Minerva"
"816","13:30",0.065,30,"IPA - New England","Minerva"
"817","Minerva 10 Mil Pies San Cristobal",0.065,38,"IPA - New England","Minerva"
"818","9:70",0.09,70,"Stout - Other","Minerva"
"819","8:60",0.08,60,"IPA - Imperial / Double","Minerva"
"820","Viena De Guadalajara",0.05,18,"Lager - Vienna","Minerva"
"821","Mocachela",0.085,45,"Stout - Other","Minerva"
"822","Cora Four Seasons",0.056,28,"Imperial Pale Ale","Minerva"
"823","Minerva 10 Mil Pies Playacar",0.055,19,"Pilsner - Other","Minerva"
"824","Beleza",0.06,14,"Fruit Beer","Minerva"
"825","Navideña",0.09,5,"Stout - Imperial / Double","Minerva"
"826","Loira",0.06,14,"Fruit Beer","Minerva"
"827","Renee",0.07,28,"Blonde Ale - Belgian Blonde / Golden","Minerva"
"828","Dorada De Guadalajara",0.05,21,"Kölsch","Minerva"
"829","D1P4",0.09,80,"IPA - Imperial / Double","Minerva"
"830","Minerva Pilsner (conmemorativa)",0.045,19,"Pilsner - Other","Minerva"
"831","7:50",0.07,69,"IPA - American","Minerva"
"832","Unión Light",0.038,15,"Lager - American Light","Minerva"
"833","Mel (Merlot Ale)",0.075,16,"Sour - Ale","Minerva"
"834","ITA Edicion Especial Doble Barrica",0.09,27,"Other","Minerva"
"835","Oatmeal Stout (Taller)",0.072,28,"Stout - Oatmeal","Minerva"
"836","Doble Malta",0.065,28,"Dark Ale","Minerva"
"837","IPA Saison",0.046,60,"Saison / Farmhouse Ale","Minerva"
"838","Panamericanos",0.05,15,"Pilsner - German","Minerva"
"839","Belgian Pale Ale",0.062,28,"Pale Ale - Belgian","Minerva"
"840","Trompo",0.05,28,"Root Beer","Minerva"
"841","777",0.05,30,"Lager - IPL (India Pale Lager)","Minerva"
"842","Belgian IPA (Taller)",0.082,60,"IPA - Belgian","Minerva"
"844","Pumpkin Porter (Taller)",0.067,70,"Porter - Other","Minerva"
"845","Scottish Ale (Taller)",0.065,11,"Scottish Ale","Minerva"
"846","Maldita",0.045,22,"Lager - Pale","Minerva"
"847","Red Rye IPA",0.066,80,"Rye Beer","Minerva"
"848","Rut Bir",0.05,28,"Root Beer","Minerva"
"849","Mocha Porter (Taller)",0.076,50,"Porter - Other","Minerva"
"850","Honey Porter (Taller)",0.06,45,"Porter - Baltic","Minerva"
"851","Imperial Tequiagave Ale",0.07,28,"IPA - International","Minerva"
"852","Golden Ale",0.044,4,"Golden Ale","Minerva"
"853","Pitaya Sour",0.053,28,"Sour - Gose","Minerva"
"854","Pitaya Lager",0.039,15,"Lager - American Light","Minerva"
"855","Colonial De Guadalajara",0.05,21,"Kölsch","Minerva"
"856","Tempranillo Saison",0.058,33,"Saison / Farmhouse Ale","Minerva"
"857","Irish Stout",0.041,45,"Stout - Irish Dry","Minerva"
"858","A Toda Madre",0.05,46,"IPA - English","Minerva"
"859","Minerva Hopy Pilsner",0.049,19,"Pilsner - Other","Minerva"
"860","Minerva Hoppy Wheat",0.047,28,"Wheat Beer - Other","Minerva"
"861","Cobra Premium",0.048,22,"Lager - Pale","Molson Coors (UK)"
"862","Carling",0.037,22,"Lager - Pale","Molson Coors (UK)"
"863","Caffrey's Irish Ale",0.042,26,"Red Ale - Irish","Molson Coors (UK)"
"864","King Cobra",0.075,35,"Pilsner - Imperial / Double","Molson Coors (UK)"
"865","Carling British Cider",0.045,28,"Cider - Other","Molson Coors (UK)"
"866","Caffrey's Premium Irish Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"867","Stones Bitter",0.037,28,"English Bitter","Molson Coors (UK)"
"868","Carling Premier",0.047,16,"Lager - North American Adjunct","Molson Coors (UK)"
"869","Hancock's HB",0.036,28,"English Bitter","Molson Coors (UK)"
"870","Carling British Cider Cherry",0.04,28,"Cider - Other Fruit","Molson Coors (UK)"
"871","Cobra Zero",0.004,15,"Non-Alcoholic Beer","Molson Coors (UK)"
"872","Carling Black Fruits Cider",0.04,28,"Cider - Other","Molson Coors (UK)"
"873","Carling Zest Citrus",0.028,28,"Shandy / Radler","Molson Coors (UK)"
"874","Maclachlan's Best",0.036,11,"Scottish Ale","Molson Coors (UK)"
"875","Carling Zest Lime",0.028,28,"Shandy / Radler","Molson Coors (UK)"
"876","Carling British Cider Lime & Mint",0.04,28,"Cider - Other Fruit","Molson Coors (UK)"
"877","Carling Cider Apple",0.04,28,"Cider - Other","Molson Coors (UK)"
"878","Cobra Malabar Blond IPA",0.047,23,"Blonde Ale","Molson Coors (UK)"
"879","Hooch Apple Cider",0.04,28,"Cider - Other","Molson Coors (UK)"
"880","Bira London",0.04,17,"Lager - Euro","Molson Coors (UK)"
"881","New Season Sky Sports Pale Ale",0.043,23,"Blonde Ale","Molson Coors (UK)"
"882","Carling Cider Orchard Fruits",0.04,28,"Cider - Other","Molson Coors (UK)"
"883","Breaker",0.048,17,"Lager - Euro","Molson Coors (UK)"
"884","Carling Zest Ripe Red Berry",0.028,28,"Shandy / Radler","Molson Coors (UK)"
"885","Toby Bitter",0.028,28,"English Bitter","Molson Coors (UK)"
"886","Carling Chrome",0.048,22,"Lager - Pale","Molson Coors (UK)"
"887","Carling Zest Winter Berries",0.028,28,"Shandy / Radler","Molson Coors (UK)"
"888","Carling Citrus Twist",0.028,28,"Shandy / Radler","Molson Coors (UK)"
"889","Carling Zest With A Hint Of Ginger",0.028,28,"Shandy / Radler","Molson Coors (UK)"
"890","Carling Grapefruit Cooler",0.02,14,"Fruit Beer","Molson Coors (UK)"
"891","Done Deal",0.04,4,"Golden Ale","Molson Coors (UK)"
"892","Caffrey's Stout",0.047,45,"Stout - Other","Molson Coors (UK)"
"893","Saints Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"894","Harry Chapman's",0.036,28,"English Bitter","Molson Coors (UK)"
"895","Mild",0.028,28,"English Mild Ale","Molson Coors (UK)"
"896","Carling Lemon Cooler",0.02,14,"Fruit Beer","Molson Coors (UK)"
"897","Tepacho",0.055,28,"Cider - Other","Molson Coors (UK)"
"898","Llanerch Vineyard Ale",0.037,28,"English Bitter","Molson Coors (UK)"
"899","The Farewell Brew Alton Brewery",0.06,28,"Pale Ale - English","Molson Coors (UK)"
"900","New East Dart Ale",0.038,28,"English Mild Ale","Molson Coors (UK)"
"901","Zesty Lemon Animée Beer",0.04,14,"Fruit Beer","Molson Coors (UK)"
"902","Carling Zest Spiced With A Hint of Spiced Orange",0.028,28,"Shandy / Radler","Molson Coors (UK)"
"903","Penally Old Codger",0.036,28,"English Bitter","Molson Coors (UK)"
"904","Clear Animée Beer",0.04,14,"Fruit Beer","Molson Coors (UK)"
"905","Queen's Head Own Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"906","Breaker Superbrew",0.08,22,"Lager - Pale","Molson Coors (UK)"
"907","Cobra Beer Gluten Free",0.048,22,"Gluten-Free","Molson Coors (UK)"
"908","Carling Rum Flavoured Cider",0.055,28,"Cider - Other","Molson Coors (UK)"
"909","Krait",0.048,16,"Lager - North American Adjunct","Molson Coors (UK)"
"910","Molson Canadian Biere",0.04,40,"Lager - Helles","Molson Coors (UK)"
"911","Tenby Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"912","Kentigerns",0.04,17,"Lager - Euro","Molson Coors (UK)"
"913","Original",0.04,24,"Lager - Amber","Molson Coors (UK)"
"914","Rekorderlig Strawberry-Lime Low Alcohol",0.002,28,"Cider - Other","Molson Coors (UK)"
"915","Cobra Bite Sweet Lime",0.041,14,"Fruit Beer","Molson Coors (UK)"
"916","Rocky Red",0.05,28,"English Bitter","Molson Coors (UK)"
"917","Number 1 Brewery Farewell Brew",0.06,22,"Lager - Pale","Molson Coors (UK)"
"918","High Horton Ale",0.045,28,"English Bitter","Molson Coors (UK)"
"919","Star And Garter Andover Ale",0.038,28,"English Bitter","Molson Coors (UK)"
"920","The Farmers Arms",0.036,23,"Blonde Ale","Molson Coors (UK)"
"921","Wide Mouthed Frog",0.038,28,"English Bitter","Molson Coors (UK)"
"922","Gremlin Ale",0.036,28,"English Bitter","Molson Coors (UK)"
"923","Ten of the Best",0.053,28,"Scotch Ale / Wee Heavy","Molson Coors (UK)"
"924","Poacher's Brew",0.038,28,"English Bitter","Molson Coors (UK)"
"925","Cwrw Nanhyfer",0.036,4,"Golden Ale","Molson Coors (UK)"
"926","Watta",0.036,28,"English Bitter","Molson Coors (UK)"
"927","Shrewsbury Regatta Ale",0.039,28,"English Bitter","Molson Coors (UK)"
"928","Camelot",0.036,28,"English Bitter","Molson Coors (UK)"
"929","KPA, Keele People's Ale",0.045,28,"English Bitter","Molson Coors (UK)"
"930","Dragon Bitter",0.036,28,"English Bitter","Molson Coors (UK)"
"931","Old Ford",0.036,28,"English Bitter","Molson Coors (UK)"
"932","Chester Golden Ale",0.034,28,"English Mild Ale","Molson Coors (UK)"
"933","Cheshire English Pub Beer",0.05,28,"Pale Ale - English","Molson Coors (UK)"
"934","Golden Bear",0.038,28,"Pale Ale - English","Molson Coors (UK)"
"935","Kelvin Ale",0.053,24,"Lager - Amber","Molson Coors (UK)"
"936","Molson Canadian",0.05,15,"Lager - North American Adjunct","Molson Coors Canada"
"937","Rickard's Red",0.052,16,"Red Ale - Irish","Molson Coors Canada"
"938","Old Style Pilsner",0.05,15,"Pilsner - German","Molson Coors Canada"
"939","Rickard's White",0.054,14,"Witbier","Molson Coors Canada"
"940","Golden",0.05,22,"Lager - Pale","Molson Coors Canada"
"941","Export Ale",0.05,23,"Blonde Ale","Molson Coors Canada"
"942","Molson XXX",0.073,16,"Lager - North American Adjunct","Molson Coors Canada"
"943","Molson Ice",0.056,16,"Lager - North American Adjunct","Molson Coors Canada"
"944","Old Vienna (OV)",0.05,16,"Lager - North American Adjunct","Molson Coors Canada"
"945","Rickard's Dark",0.048,35,"Porter - English","Molson Coors Canada"
"946","Carling Black Label",0.047,16,"Lager - North American Adjunct","Molson Coors Canada"
"947","Rickard's Blonde",0.05,15,"Pilsner - German","Molson Coors Canada"
"948","Rickard's Radler",0.032,28,"Shandy / Radler","Molson Coors Canada"
"949","Belgian Moon",0.054,9,"Witbier","Molson Coors Canada"
"950","Molson Dry",0.055,16,"Lager - North American Adjunct","Molson Coors Canada"
"951","Mad Jack Premium Apple Lager",0.05,14,"Fruit Beer","Molson Coors Canada"
"952","Molson Canadian 67",0.03,15,"Lager - American Light","Molson Coors Canada"
"953","Canadian Light",0.042,15,"Lager - American Light","Molson Coors Canada"
"954","John H.R. Molson & Bros. 1908 Historic Pale Ale",0.068,47,"Pale Ale - American","Molson Coors Canada"
"955","Molson Canadian Cider",0.05,28,"Cider - Other","Molson Coors Canada"
"956","Black Horse",0.05,22,"Lager - Pale","Molson Coors Canada"
"957","Rickard's Red IPA",0.057,40,"IPA - Red","Molson Coors Canada"
"958","Stock Ale",0.05,23,"Blonde Ale","Molson Coors Canada"
"959","Rickard's Lederhosen Octoberfest-Style Lager",0.065,22,"Märzen","Molson Coors Canada"
"960","Mad Jack Premium Hard Root Beer",0.05,28,"Root Beer","Molson Coors Canada"
"961","Rickard's Shandy",0.045,28,"Shandy / Radler","Molson Coors Canada"
"962","India Beer",0.05,23,"Blonde Ale","Molson Coors Canada"
"963","Molson Canadian Cider - Stone Fruit",0.05,28,"Cider - Other","Molson Coors Canada"
"964","Rickard's Oakhouse",0.055,28,"Lager - Winter","Molson Coors Canada"
"965","Canadian Cold Shots 6.0",0.06,22,"Lager - Pale","Molson Coors Canada"
"966","Molson Canadian 67 Session IPA",0.03,10,"IPA - Session / India Session Ale","Molson Coors Canada"
"967","Carling Lager (Canada)",0.049,16,"Lager - North American Adjunct","Molson Coors Canada"
"968","Bohemian",0.05,22,"Lager - Pale","Molson Coors Canada"
"969","Laurentide",0.05,23,"Blonde Ale","Molson Coors Canada"
"970","Coors Altitude",0.064,16,"Lager - North American Adjunct","Molson Coors Canada"
"971","Rickard's Red Session Lager",0.04,18,"Lager - American Amber / Red","Molson Coors Canada"
"972","Molson Canadian Wheat",0.045,28,"Pale Wheat Ale - American","Molson Coors Canada"
"973","Wanderoot Apple Cider",0.051,28,"Cider - Other","Molson Coors Canada"
"974","Molson M",0.049,16,"Lager - North American Adjunct","Molson Coors Canada"
"975","Rickard's Cardigan",0.055,28,"Spiced / Herbed Beer","Molson Coors Canada"
"976","Keystone Lager (Canada)",0.049,22,"Lager - Pale","Molson Coors Canada"
"977","Carling Ice",0.055,16,"Lager - North American Adjunct","Molson Coors Canada"
"978","Coors Light Iced T",0.04,15,"Lager - American Light","Molson Coors Canada"
"979","Black Ice",0.061,16,"Lager - North American Adjunct","Molson Coors Canada"
"980","Mad Jack Premium Ginger Flavoured Lager",0.05,28,"Ginger Beer","Molson Coors Canada"
"981","Bennett Dominion Ale",0.05,23,"Blonde Ale","Molson Coors Canada"
"982","Canadian 67 Sublime",0.03,15,"Lager - American Light","Molson Coors Canada"
"983","O'Keefe",0.05,23,"Blonde Ale","Molson Coors Canada"
"984","Standard Lager",0.05,34,"Lager - North American Adjunct","Molson Coors Canada"
"985","Exel",0.005,15,"Non-Alcoholic Beer","Molson Coors Canada"
"986","Extra Old Stock",0.0565,8,"Malt Liquor ","Molson Coors Canada"
"987","Boston Pizza's 50th Anniversary Pale Ale",0.053,36,"Pale Ale - American","Molson Coors Canada"
"988","Carling Light (Canada)",0.04,15,"Lager - American Light","Molson Coors Canada"
"989","Mad Jack Suckerpunch Strong Lemon Lager",0.07,14,"Fruit Beer","Molson Coors Canada"
"990","Molson Brador",0.06,8,"Malt Liquor ","Molson Coors Canada"
"991","Molson Canadian Cider Pear",0.05,28,"Cider - Perry","Molson Coors Canada"
"992","Calgary Beer",0.05,15,"Lager - American Light","Molson Coors Canada"
"993","Molson Canadian 67 Tangerine Twist",0.03,14,"Fruit Beer","Molson Coors Canada"
"994","Rickard's Honey Brown",0.045,23,"Blonde Ale","Molson Coors Canada"
"995","Carling Black Label Dry 6.1%",0.061,16,"Lager - North American Adjunct","Molson Coors Canada"
"996","Carling Dry",0.055,16,"Lager - North American Adjunct","Molson Coors Canada"
"997","Coors Edge",0.005,15,"Non-Alcoholic Beer","Molson Coors Canada"
"998","Rickard's Pale Ale",0.048,36,"Pale Ale - American","Molson Coors Canada"
"999","Mad Jack Hard Core Strong Apple Lager",0.07,14,"Fruit Beer","Molson Coors Canada"
"1000","Molson Canadian Cider White Cranberry",0.05,28,"Cider - Other","Molson Coors Canada"
"1001","Carling Black Label Supreme 8.0%",0.08,8,"Malt Liquor ","Molson Coors Canada"
"1002","Molson Dry 10.1%",0.101,23,"Blonde Ale","Molson Coors Canada"
"1003","Mad Jack Premium Lemon Flavoured Lager",0.05,28,"Malt Beer","Molson Coors Canada"
"1004","Mad Jack Hard Flavored Ice Tea",0.05,8,"Malt Liquor ","Molson Coors Canada"
"1005","Molson Dry Cold Shots",0.065,16,"Lager - North American Adjunct","Molson Coors Canada"
"1006","Molson Extra",0.062,8,"Malt Liquor ","Molson Coors Canada"
"1007","Canadian Cider Raspberry",0.05,28,"Cider - Other","Molson Coors Canada"
"1008","Molson Dry 8.5%",0.085,8,"Malt Liquor ","Molson Coors Canada"
"1009","Darcy's Live Lager",0.05,22,"Lager - Pale","Molson Coors Canada"
"1010","Golden Anniversary Pale Ale",0.055,36,"Pale Ale - American","Molson Coors Canada"
"1011","Molson Dry 6.5%",0.065,8,"Malt Liquor ","Molson Coors Canada"
"1012","Mad Jack Hard Flavoured Tropical Punch",0.05,14,"Fruit Beer","Molson Coors Canada"
"1014","Rickard's India Pale Ale",0.06,46,"IPA - English","Molson Coors Canada"
"1015","Backstreet Lager",0.048,22,"Lager - Pale","Molson Coors Canada"
"1016","Canadian Ice",0.045,23,"Blonde Ale","Molson Coors Canada"
"1017","Fat Cock",0.046,20,"Lager - American Light","Molson Coors Canada"
"1018","Kirin Draft Dry",0.044,17,"Lager - Euro","Molson Coors Canada"
"1019","Carling C2",0.02,15,"Lager - American Light","Molson Coors Canada"
"1020","Caffrey's Cream Ale",0.053,28,"Cream Ale","Molson Coors Canada"
"1021","Orford Pale Ale",0.055,36,"Pale Ale - American","Molson Coors Canada"
"1022","Ice House Ale",0.05,23,"Blonde Ale","Molson Coors Canada"
"1023","Dooly's '93",0.036,15,"Lager - American Light","Molson Coors Canada"
"1024","Red Jack",0.05,24,"Red Ale - American Amber / Red","Molson Coors Canada"
"1025","Molson Kick",0.05,16,"Lager - North American Adjunct","Molson Coors Canada"
"1026","CanadianX",0.06,35,"Pilsner - Imperial / Double","Molson Coors Canada"
"1027","Carling Black Label Big 10",0.101,8,"Malt Liquor ","Molson Coors Canada"
"1028","Molson Ultra",0.062,60,"Strong Ale - American","Molson Coors Canada"
"1029","Skinny Cock",0.047,21,"Pilsner - Czech","Molson Coors Canada"
"1030","Hatchet Lager",0.048,16,"Lager - North American Adjunct","Molson Coors Canada"
"1031","Truly Unique",0.047,21,"Pilsner - Czech","Molson Coors Canada"
